1,817,Antone Brooks,44,M,Finnish,583699,0
2,822,Deeanna Campos,49,F,Swiss,981561,2
3,989,Leandro Valdez,33,M,Uruguayan,579610,2
4,87,Marlen Dunn,29,F,Polish,496561,2
5,221,Hershel Cotton,62,M,Polish,491243,1
6,462,Yelena Mueller,36,F,Saudi,850467,3
7,160,Lee Santos,38,M,Puerto Rican,117449,1
8,477,Valery Short,21,F,Portuguese,290979,5
9,350,Zachary Hutchinson,62,M,Estonian,943517,4
10,600,Valene West,32,F,Greek,208079,4
11,209,Gus Thornton,32,M,Danish,820153,3
12,951,Un Justice,47,F,Ethiopian,235280,2
13,801,Wilson Ware,24,M,Portuguese,645958,4
14,1000,Kena Cummings,55,F,Japanese,257591,0
15,848,Joel Elliott,59,M,Danish,645428,2
16,658,Kelle Case,68,F,Irish,327198,2
17,579,Arlie Wooten,41,M,Polish,302316,1
18,671,Dusti Wright,32,F,Ecuadorian,353075,5
19,237,Chase Boyer,55,M,British,687948,1
20,478,Song Holder,38,F,Greek,548291,1
21,523,Ervin Ray,26,M,Greek,670724,5
22,920,Mignon Gross,21,F,Italian,909781,4
23,716,Bryon Stout,64,M,Romanian,647222,4
24,91,Elvie Merrill,67,F,Chinese,460021,3
25,898,Emory Phelps,52,M,Iranian,321505,3
26,743,Ying Delaney,26,F,Swiss,618625,1
27,690,Trent Watts,46,M,Finnish,784985,4
28,181,Youlanda Pickett,67,F,British,216451,4
29,947,Jarrett Watts,47,M,Iranian,647426,2
30,965,Tennie Cooke,48,F,Finnish,245599,2
31,536,Santo Bell,24,M,Irish,368823,0
32,146,Marx Boone,47,F,Colombian,906314,0
33,769,Benito Sanders,30,M,Taiwanese,497167,1
34,480,Tomi Parsons,42,F,Italian,848524,4
35,354,Kory Whitehead,49,M,Taiwanese,456703,0
36,165,Candra Snow,18,F,Spanish,855489,0
37,763,Buck Ferrell,62,M,Estonian,285967,3
38,525,Reatha Schmidt,23,F,Finnish,256498,3
39,50,Tyree Hull,18,M,Italian,772393,2
40,55,Emely Hartman,63,F,Bolivian,395869,0
41,976,Adam Fitzpatrick,27,M,Taiwanese,348371,4
42,257,Carolyne Roach,20,F,Canadian,715191,5
43,400,Dean Cain,64,M,Latvian,18058,3
44,56,Isa Ryan,41,F,Canadian,700890,5
45,408,Don Brennan,31,M,Polish,607680,0
46,233,Billi Parks,66,F,Saudi,571537,5
47,807,Shaun Emerson,36,M,Estonian,985150,0
48,959,Willetta Hawkins,48,F,Swedish,77439,4
49,927,Enrique Kirk,37,M,British,495207,5
50,580,Enda Peterson,62,F,Dutch,567089,2
51,428,Maximo Zimmerman,50,M,English,631180,0
52,925,Alvera Cline,35,F,Chilean,792711,1
53,357,Theron David,33,M,Egyptian,958306,1
54,628,Reanna Hawkins,23,F,Cambodian,140221,1
55,243,Eli Silva,67,M,Canadian,942466,4
56,276,Janita Flynn,18,F,Greek,567079,0
57,811,Eliseo Lynn,67,M,Brazilian,103819,5
58,571,Cherilyn Sullivan,58,F,Brazilian,623646,0
59,113,Marcus Olson,35,M,Guatemalan,617819,0
60,98,Emiko Rocha,50,F,Cuban,861025,5
61,968,Antwan Preston,18,M,Costa Rican,847845,2
62,303,Tanna Harrington,37,F,Salvadorian,132478,0
63,852,Sang O'connor,40,M,Ethiopian,636217,3
64,516,Deadra Black,31,F,Argentinian,81530,2
65,284,Sang Mccullough,47,M,Danish,148843,1
66,87,Thersa Knowles,47,F,Taiwanese,238645,0
67,589,Alexander Bryant,27,M,German,765646,1
68,563,Siu Frazier,63,F,Jordanian,344038,5
69,672,Lionel Barr,24,M,Taiwanese,657618,0
70,707,Ta Bright,26,F,Canadian,19795,4
71,161,Mariano Meadows,26,M,Puerto Rican,373706,1
72,795,Annabell Brady,27,F,Cuban,710301,2
73,987,Chad Miller,61,M,Canadian,861622,4
74,934,Terrell Avila,36,F,Puerto Rican,908898,2
75,90,Elvis Kelley,66,M,Ukrainian,731710,4
76,238,Helaine Newton,67,F,Romanian,652371,5
77,589,Norman Barrett,47,M,Polish,877550,0
78,342,Dung Snyder,46,F,Brazilian,849882,4
79,801,Elroy Delacruz,33,M,German,886921,0
80,811,Elza Oliver,37,F,Venezuelan,783827,2
81,878,Zackary Snider,37,M,Chinese,122667,2
82,27,Terresa Leach,55,F,Afghan,729744,5
83,105,Jonah James,58,M,Australian,900174,1
84,710,Aurore Bass,33,F,Dutch,745082,2
85,390,Matthew Calderon,29,M,English,292552,1
86,384,Dinorah O'brien,64,F,Dutch,103795,5
87,899,Timmy Hays,31,M,Ukrainian,397472,0
88,889,Leighann Wilder,18,F,Japanese,738743,1
89,247,Alva Blackwell,44,M,Colombian,476180,3
90,301,Mahalia Parsons,36,F,Costa Rican,244088,0
91,797,Rod Santana,24,M,Afghan,975053,2
92,737,Christeen Dominguez,34,F,Argentinian,266528,2
93,982,Chad Blair,31,M,Chinese,333954,3
94,603,Charlott Callahan,64,F,Spanish,708571,2
95,485,Victor Mclean,62,M,Guatemalan,504939,1
96,923,Ozella Chavez,37,F,Japanese,153032,1
97,497,Lucius Ayers,40,M,British,703023,2
98,447,Marylouise Greene,45,F,British,830732,1
99,544,Felipe Vinson,42,M,Chilean,531064,2
100,734,Scott Patel,63,F,Greek,890602,5
